angle01,angle02,angle03,angle11,angle12,angle13,angle21,angle22,angle23,angle31,angle32,angle33,angle41,angle42,angle43,label_id
0.72,0.93,0.91,0.9,0.97,0.98,0.96,0.98,0.99,0.93,0.98,1,0.89,0.97,0.99,0
0.78,0.93,0.91,0.91,0.97,0.98,0.97,0.97,0.98,0.95,0.98,0.99,0.91,0.97,0.99,0
0.78,0.93,0.91,0.92,0.96,0.98,0.97,0.97,0.98,0.95,0.98,1,0.92,0.97,0.99,0
0.79,0.92,0.92,0.91,0.96,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.99,0
0.8,0.93,0.91,0.92,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.92,0.97,0.99,0
0.8,0.93,0.92,0.92,0.96,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.99,0
0.81,0.93,0.92,0.92,0.96,0.98,0.98,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.98,0
0.81,0.93,0.92,0.92,0.96,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.98,0
0.8,0.93,0.95,0.92,0.96,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.92,0.98,0.99,0
0.79,0.94,0.96,0.91,0.97,0.98,0.97,0.97,0.98,0.95,0.98,0.99,0.91,0.97,0.99,0
0.79,0.93,0.98,0.91,0.96,0.98,0.97,0.97,0.98,0.95,0.97,0.99,0.91,0.97,0.99,0
0.79,0.94,0.97,0.91,0.96,0.98,0.97,0.97,0.98,0.95,0.97,0.99,0.91,0.97,0.99,0
0.79,0.94,0.98,0.91,0.96,0.98,0.97,0.96,0.98,0.96,0.97,0.99,0.91,0.96,0.99,0
0.79,0.94,0.98,0.91,0.96,0.98,0.97,0.96,0.98,0.96,0.97,0.99,0.91,0.96,0.99,0
0.78,0.94,0.98,0.91,0.96,0.98,0.97,0.96,0.98,0.96,0.96,0.99,0.92,0.96,0.99,0
0.79,0.95,0.98,0.91,0.97,0.98,0.97,0.97,0.98,0.96,0.96,0.99,0.92,0.97,0.99,0
0.78,0.94,0.98,0.91,0.97,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.99,0
0.78,0.94,0.98,0.9,0.97,0.99,0.97,0.97,0.98,0.96,0.97,0.99,0.91,0.97,0.99,0
0.79,0.94,0.99,0.91,0.96,0.98,0.97,0.96,0.98,0.94,0.96,0.99,0.9,0.96,0.99,0
0.81,0.93,0.97,0.91,0.96,0.98,0.97,0.96,0.98,0.94,0.96,0.99,0.9,0.96,0.99,0
0.81,0.93,0.97,0.92,0.97,0.99,0.98,0.97,0.98,0.94,0.97,0.99,0.9,0.97,0.99,0
0.81,0.93,0.97,0.92,0.97,0.99,0.97,0.97,0.98,0.94,0.97,0.99,0.92,0.98,0.99,0
0.82,0.93,0.96,0.92,0.97,0.99,0.97,0.97,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.82,0.93,0.97,0.91,0.97,0.99,0.97,0.97,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.81,0.94,0.98,0.91,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.81,0.92,0.99,0.88,0.96,0.98,0.95,0.97,0.97,0.97,0.98,0.98,0.93,0.97,0.99,0
0.78,0.91,0.95,0.88,0.96,0.97,0.95,0.96,0.97,0.97,0.97,0.98,0.93,0.97,0.99,0
0.78,0.91,0.96,0.88,0.97,0.97,0.94,0.97,0.97,0.97,0.97,0.98,0.93,0.97,0.99,0
0.78,0.91,0.95,0.88,0.97,0.97,0.94,0.97,0.97,0.97,0.97,0.98,0.93,0.97,0.99,0
0.78,0.92,0.96,0.89,0.96,0.97,0.95,0.96,0.96,0.97,0.97,0.97,0.93,0.97,0.99,0
0.78,0.91,0.97,0.89,0.97,0.97,0.95,0.97,0.97,0.97,0.98,0.98,0.93,0.97,0.99,0
0.78,0.91,0.97,0.89,0.96,0.97,0.96,0.97,0.97,0.97,0.98,0.98,0.93,0.97,0.99,0
0.79,0.92,0.98,0.9,0.96,0.97,0.96,0.97,0.97,0.96,0.98,0.98,0.93,0.97,0.99,0
0.81,0.93,0.98,0.89,0.97,0.97,0.96,0.97,0.97,0.96,0.98,0.98,0.92,0.97,0.99,0
0.81,0.96,0.99,0.91,0.97,0.98,0.96,0.98,0.98,0.96,0.98,0.99,0.92,0.97,0.99,0
0.81,0.96,0.99,0.91,0.97,0.98,0.97,0.98,0.98,0.96,0.98,0.99,0.91,0.97,0.99,0
0.8,0.96,0.99,0.92,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.91,0.97,0.99,0
0.81,0.94,0.98,0.93,0.97,0.98,0.98,0.97,0.98,0.96,0.98,0.99,0.93,0.97,0.99,0
0.8,0.94,0.95,0.94,0.97,0.98,0.97,0.98,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.79,0.95,0.97,0.92,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.93,0.97,0.99,0
0.78,0.95,0.98,0.92,0.96,0.97,0.97,0.97,0.98,0.96,0.98,0.99,0.92,0.97,0.99,0
0.79,0.94,0.99,0.93,0.96,0.98,0.97,0.97,0.98,0.95,0.98,0.99,0.92,0.97,0.99,0
0.79,0.95,0.99,0.93,0.96,0.97,0.96,0.96,0.98,0.96,0.97,0.98,0.91,0.94,0.97,0
0.81,0.94,0.99,0.92,0.96,0.98,0.96,0.97,0.98,0.96,0.96,0.98,0.89,0.92,0.94,0
0.81,0.94,0.99,0.93,0.97,0.98,0.97,0.97,0.98,0.96,0.97,0.98,0.89,0.93,0.96,0
0.81,0.94,0.99,0.93,0.97,0.98,0.96,0.97,0.98,0.96,0.97,0.98,0.89,0.94,0.96,0
0.82,0.94,0.98,0.93,0.97,0.98,0.96,0.97,0.98,0.96,0.97,0.98,0.88,0.9,0.91,0
0.82,0.94,0.98,0.94,0.97,0.99,0.96,0.97,0.99,0.96,0.97,0.98,0.91,0.94,0.96,0
0.81,0.93,0.98,0.94,0.97,0.99,0.96,0.97,0.99,0.96,0.97,0.98,0.92,0.95,0.97,0
0.81,0.93,0.98,0.93,0.98,0.99,0.95,0.97,0.99,0.95,0.97,0.98,0.91,0.94,0.97,0
0.82,0.93,0.98,0.93,0.97,0.99,0.96,0.97,0.99,0.95,0.97,0.98,0.92,0.94,0.96,0
0.82,0.93,0.98,0.93,0.96,0.98,0.96,0.97,0.99,0.96,0.97,0.97,0.92,0.96,0.98,0
0.82,0.92,0.98,0.93,0.97,0.98,0.96,0.97,0.99,0.95,0.97,0.98,0.93,0.97,0.99,0
0.81,0.92,0.97,0.93,0.97,0.99,0.97,0.97,0.99,0.96,0.97,0.98,0.93,0.97,0.98,0
0.83,0.92,0.97,0.92,0.95,0.98,0.96,0.95,0.99,0.94,0.93,0.96,0.91,0.93,0.96,0
0.83,0.93,0.96,0.92,0.96,1,0.96,0.94,0.98,0.94,0.93,0.96,0.91,0.92,0.96,0
0.83,0.93,0.96,0.92,0.97,1,0.96,0.94,0.98,0.93,0.94,0.96,0.91,0.93,0.97,0
0.83,0.93,0.96,0.93,0.97,0.99,0.96,0.95,0.98,0.93,0.92,0.95,0.91,0.92,0.96,0
0.83,0.93,0.97,0.92,0.97,0.98,0.96,0.95,0.99,0.92,0.92,0.96,0.89,0.91,0.95,0
0.83,0.93,0.98,0.92,0.97,0.99,0.96,0.95,0.98,0.92,0.93,0.95,0.9,0.92,0.96,0
0.83,0.93,0.97,0.91,0.97,0.99,0.95,0.95,0.98,0.92,0.92,0.94,0.89,0.9,0.94,0
0.83,0.94,0.98,0.92,0.97,0.99,0.95,0.95,0.98,0.92,0.92,0.94,0.91,0.91,0.94,0
0.84,0.94,0.97,0.92,0.97,0.99,0.95,0.95,0.97,0.91,0.91,0.93,0.89,0.89,0.93,0
0.85,0.94,0.97,0.93,0.98,0.99,0.95,0.96,0.97,0.91,0.92,0.93,0.88,0.9,0.93,0
0.85,0.93,0.97,0.92,0.97,0.99,0.95,0.96,0.97,0.91,0.93,0.94,0.88,0.91,0.96,0
0.85,0.94,0.97,0.93,0.96,0.99,0.96,0.95,0.98,0.91,0.94,0.96,0.88,0.92,0.96,0
0.85,0.94,0.96,0.92,0.96,0.98,0.96,0.95,0.97,0.91,0.93,0.94,0.88,0.91,0.96,0
0.86,0.94,0.97,0.94,0.88,0.91,0.96,0.93,0.96,0.91,0.92,0.94,0.88,0.9,0.94,0
0.84,0.93,0.97,0.94,0.95,0.99,0.97,0.94,0.97,0.92,0.92,0.94,0.9,0.91,0.93,0
0.82,0.93,0.97,0.92,0.96,0.99,0.96,0.94,0.97,0.92,0.91,0.93,0.89,0.9,0.92,0
0.82,0.93,0.97,0.93,0.96,0.99,0.96,0.94,0.97,0.92,0.92,0.94,0.89,0.92,0.93,0
0.82,0.92,0.97,0.92,0.96,0.99,0.96,0.93,0.97,0.93,0.93,0.95,0.91,0.93,0.94,0
0.82,0.92,0.97,0.91,0.97,0.99,0.94,0.94,0.97,0.93,0.94,0.95,0.89,0.94,0.94,0
0.84,0.92,0.98,0.91,0.97,0.98,0.93,0.95,0.98,0.93,0.96,0.96,0.89,0.94,0.96,0
0.86,0.92,0.98,0.92,0.97,0.99,0.96,0.97,0.98,0.94,0.98,0.97,0.92,0.97,0.97,0
0.79,0.92,0.93,0.81,0.75,0.52,0.9,0.5,0.66,0.91,0.42,0.73,0.88,0.37,0.79,1
0.81,0.92,0.94,0.82,0.73,0.49,0.89,0.5,0.67,0.9,0.5,0.66,0.88,0.53,0.66,1
0.82,0.93,0.94,0.82,0.76,0.51,0.89,0.57,0.62,0.91,0.59,0.58,0.88,0.6,0.62,1
0.83,0.93,0.95,0.83,0.78,0.48,0.89,0.58,0.61,0.92,0.74,0.54,0.89,0.59,0.61,1
0.82,0.92,0.97,0.83,0.72,0.49,0.91,0.51,0.66,0.93,0.77,0.57,0.89,0.58,0.62,1
0.82,0.92,0.98,0.83,0.61,0.57,0.91,0.43,0.74,0.92,0.68,0.57,0.89,0.47,0.72,1
0.82,0.92,0.96,0.83,0.47,0.67,0.91,0.31,0.81,0.92,0.39,0.73,0.89,0.34,0.81,1
0.83,0.91,0.97,0.84,0.69,0.53,0.91,0.55,0.63,0.92,0.69,0.51,0.89,0.63,0.61,1
0.82,0.92,0.97,0.85,0.77,0.49,0.91,0.61,0.58,0.92,0.72,0.49,0.89,0.66,0.58,1
0.83,0.92,0.96,0.86,0.74,0.48,0.92,0.52,0.64,0.92,0.58,0.58,0.89,0.53,0.67,1
0.83,0.92,0.97,0.86,0.78,0.48,0.92,0.58,0.6,0.92,0.67,0.52,0.89,0.61,0.61,1
0.84,0.92,0.96,0.87,0.75,0.49,0.92,0.51,0.66,0.92,0.57,0.6,0.88,0.55,0.66,1
0.84,0.91,0.99,0.86,0.76,0.52,0.92,0.53,0.64,0.92,0.56,0.61,0.89,0.57,0.64,1
0.83,0.91,0.99,0.86,0.71,0.54,0.92,0.44,0.72,0.92,0.49,0.66,0.89,0.49,0.68,1
0.83,0.9,0.98,0.85,0.54,0.66,0.91,0.31,0.83,0.91,0.31,0.82,0.88,0.33,0.82,1
0.82,0.89,0.98,0.86,0.41,0.77,0.92,0.26,0.87,0.91,0.28,0.84,0.88,0.3,0.84,1
0.82,0.89,0.98,0.86,0.31,0.86,0.92,0.21,0.91,0.91,0.24,0.88,0.88,0.27,0.87,1
0.86,0.89,0.98,0.87,0.61,0.62,0.93,0.31,0.82,0.93,0.29,0.83,0.9,0.32,0.82,1
0.83,0.9,0.98,0.85,0.58,0.65,0.93,0.31,0.83,0.92,0.28,0.84,0.9,0.32,0.83,1
0.82,0.9,0.98,0.85,0.54,0.68,0.92,0.31,0.83,0.92,0.28,0.84,0.89,0.31,0.84,1
0.81,0.9,0.98,0.85,0.65,0.61,0.92,0.4,0.78,0.92,0.33,0.81,0.9,0.33,0.82,1
0.81,0.9,0.98,0.84,0.58,0.62,0.91,0.33,0.81,0.93,0.29,0.83,0.9,0.28,0.86,1
0.81,0.91,0.97,0.83,0.6,0.59,0.91,0.34,0.79,0.93,0.28,0.83,0.9,0.28,0.86,1
0.81,0.91,0.97,0.83,0.6,0.59,0.91,0.37,0.77,0.92,0.31,0.8,0.89,0.29,0.84,1
0.81,0.91,0.97,0.83,0.64,0.57,0.91,0.39,0.75,0.93,0.34,0.77,0.9,0.34,0.81,1
0.8,0.91,0.97,0.83,0.56,0.61,0.91,0.34,0.78,0.93,0.3,0.81,0.91,0.29,0.84,1
0.81,0.91,0.98,0.83,0.54,0.64,0.9,0.34,0.79,0.93,0.31,0.81,0.9,0.29,0.84,1
0.81,0.9,0.98,0.83,0.51,0.65,0.91,0.31,0.81,0.93,0.28,0.83,0.9,0.26,0.87,1
0.82,0.9,0.98,0.84,0.37,0.76,0.92,0.23,0.86,0.93,0.22,0.87,0.91,0.19,0.92,1
0.81,0.92,0.97,0.84,0.49,0.67,0.91,0.28,0.83,0.92,0.25,0.85,0.9,0.22,0.9,1
0.81,0.91,0.97,0.85,0.47,0.69,0.91,0.28,0.84,0.92,0.26,0.86,0.89,0.23,0.89,1
0.81,0.93,0.97,0.86,0.37,0.74,0.91,0.23,0.86,0.92,0.23,0.86,0.89,0.21,0.91,1
0.81,0.94,0.95,0.88,0.21,0.87,0.93,0.16,0.91,0.93,0.2,0.88,0.91,0.21,0.9,1
0.82,0.94,0.97,0.88,0.2,0.89,0.94,0.16,0.93,0.93,0.21,0.88,0.91,0.23,0.89,1
0.8,0.95,0.97,0.9,0.77,0.48,0.95,0.51,0.66,0.94,0.54,0.64,0.92,0.47,0.71,1
0.81,0.94,0.99,0.91,0.86,0.74,0.95,0.61,0.62,0.94,0.6,0.61,0.92,0.44,0.73,1
0.81,0.95,0.98,0.93,0.94,0.97,0.96,0.5,0.7,0.94,0.42,0.76,0.92,0.37,0.79,1
0.84,0.95,0.99,0.94,0.92,0.91,0.97,0.22,0.88,0.94,0.32,0.81,0.92,0.32,0.82,1
0.82,0.95,0.98,0.93,0.89,0.89,0.96,0.34,0.83,0.93,0.38,0.79,0.91,0.33,0.83,1
0.83,0.94,0.98,0.92,0.71,0.67,0.95,0.38,0.83,0.94,0.51,0.72,0.91,0.4,0.8,1
0.82,0.94,0.98,0.92,0.4,0.79,0.95,0.26,0.9,0.93,0.32,0.84,0.89,0.32,0.86,1
0.82,0.95,0.97,0.91,0.27,0.91,0.95,0.21,0.93,0.93,0.27,0.88,0.89,0.3,0.87,1
0.82,0.94,0.97,0.91,0.34,0.88,0.94,0.24,0.93,0.93,0.29,0.87,0.89,0.31,0.87,1
0.82,0.94,0.96,0.91,0.38,0.84,0.94,0.24,0.92,0.93,0.29,0.87,0.89,0.31,0.87,1
0.82,0.94,0.96,0.91,0.36,0.84,0.94,0.23,0.92,0.93,0.28,0.86,0.88,0.31,0.87,1
0.82,0.94,0.94,0.91,0.24,0.92,0.94,0.19,0.93,0.92,0.24,0.88,0.88,0.26,0.89,1
0.81,0.94,0.94,0.91,0.36,0.84,0.94,0.24,0.92,0.92,0.29,0.86,0.88,0.31,0.87,1
0.81,0.94,0.94,0.91,0.24,0.92,0.94,0.19,0.94,0.92,0.23,0.89,0.88,0.27,0.88,1
0.82,0.94,0.95,0.91,0.24,0.93,0.94,0.19,0.93,0.92,0.24,0.88,0.88,0.28,0.88,1
0.81,0.94,0.94,0.91,0.25,0.92,0.94,0.19,0.94,0.92,0.24,0.89,0.88,0.27,0.89,1
0.81,0.94,0.95,0.91,0.24,0.92,0.94,0.19,0.94,0.92,0.24,0.88,0.88,0.28,0.89,1
0.82,0.94,0.94,0.9,0.28,0.89,0.94,0.2,0.93,0.92,0.25,0.88,0.88,0.28,0.89,1
0.81,0.93,0.94,0.89,0.39,0.81,0.94,0.24,0.92,0.93,0.3,0.86,0.88,0.33,0.87,1
0.82,0.94,0.94,0.89,0.31,0.87,0.94,0.22,0.92,0.92,0.27,0.87,0.88,0.29,0.89,1
0.82,0.94,0.95,0.88,0.29,0.86,0.94,0.21,0.92,0.92,0.26,0.87,0.87,0.29,0.88,1
0.83,0.94,0.96,0.89,0.27,0.87,0.94,0.2,0.92,0.93,0.26,0.87,0.88,0.29,0.87,1
0.84,0.93,0.97,0.88,0.23,0.88,0.94,0.18,0.92,0.92,0.24,0.87,0.87,0.27,0.88,1
0.84,0.92,0.97,0.88,0.29,0.86,0.93,0.22,0.91,0.91,0.28,0.86,0.87,0.31,0.87,1
0.84,0.91,0.98,0.87,0.34,0.84,0.93,0.25,0.89,0.91,0.31,0.84,0.86,0.34,0.85,1
0.84,0.89,0.98,0.87,0.46,0.79,0.92,0.32,0.87,0.9,0.38,0.81,0.86,0.41,0.83,1
0.84,0.89,0.98,0.86,0.49,0.82,0.91,0.34,0.89,0.89,0.39,0.83,0.85,0.41,0.83,1
0.84,0.89,0.98,0.86,0.46,0.82,0.91,0.31,0.89,0.89,0.35,0.83,0.84,0.38,0.84,1
0.84,0.89,0.98,0.86,0.42,0.84,0.91,0.3,0.89,0.89,0.35,0.83,0.85,0.38,0.84,1
0.84,0.89,0.98,0.86,0.43,0.84,0.91,0.3,0.89,0.89,0.35,0.83,0.85,0.39,0.83,1
0.83,0.89,0.98,0.86,0.48,0.82,0.91,0.32,0.89,0.89,0.38,0.82,0.84,0.42,0.83,1
0.84,0.88,0.98,0.87,0.48,0.81,0.91,0.34,0.89,0.89,0.4,0.82,0.84,0.43,0.83,1
0.84,0.88,0.98,0.88,0.45,0.78,0.92,0.32,0.87,0.9,0.39,0.79,0.86,0.42,0.81,1
0.84,0.89,0.98,0.89,0.34,0.83,0.94,0.24,0.89,0.91,0.31,0.84,0.87,0.34,0.84,1
0.84,0.89,0.98,0.88,0.47,0.74,0.94,0.31,0.87,0.91,0.37,0.8,0.87,0.38,0.82,1
0.83,0.9,0.97,0.88,0.39,0.79,0.94,0.25,0.89,0.92,0.32,0.83,0.87,0.34,0.84,1
0.82,0.91,0.97,0.88,0.33,0.82,0.94,0.22,0.91,0.93,0.27,0.86,0.88,0.31,0.86,1
0.82,0.9,0.96,0.88,0.47,0.72,0.94,0.27,0.88,0.92,0.33,0.81,0.88,0.32,0.85,1
0.82,0.9,0.96,0.88,0.38,0.78,0.94,0.24,0.89,0.92,0.29,0.84,0.88,0.31,0.86,1
0.82,0.9,0.96,0.88,0.45,0.72,0.94,0.26,0.88,0.92,0.32,0.82,0.88,0.32,0.85,1
0.83,0.91,0.96,0.88,0.34,0.79,0.94,0.22,0.89,0.93,0.28,0.83,0.88,0.29,0.87,1
0.87,0.92,0.93,0.87,0.8,0.58,0.92,0.48,0.71,0.91,0.3,0.85,0.83,0.36,0.89,2
0.87,0.93,0.95,0.88,0.82,0.65,0.93,0.61,0.61,0.92,0.33,0.82,0.84,0.38,0.87,2
0.86,0.93,0.94,0.88,0.83,0.66,0.92,0.56,0.64,0.91,0.32,0.83,0.84,0.37,0.88,2
0.87,0.92,0.96,0.88,0.83,0.66,0.93,0.58,0.62,0.91,0.33,0.82,0.83,0.38,0.88,2
0.85,0.94,0.97,0.89,0.86,0.75,0.93,0.67,0.6,0.91,0.36,0.82,0.8,0.43,0.88,2
0.85,0.93,0.96,0.88,0.84,0.72,0.92,0.65,0.62,0.9,0.37,0.82,0.79,0.44,0.88,2
0.85,0.94,0.94,0.88,0.84,0.68,0.92,0.64,0.62,0.89,0.34,0.83,0.78,0.43,0.88,2
0.85,0.94,0.93,0.88,0.84,0.65,0.92,0.63,0.61,0.89,0.35,0.82,0.78,0.43,0.89,2
0.84,0.96,0.91,0.87,0.82,0.67,0.91,0.63,0.64,0.88,0.39,0.8,0.76,0.48,0.87,2
0.87,0.94,0.93,0.87,0.83,0.64,0.92,0.67,0.59,0.89,0.38,0.8,0.78,0.48,0.86,2
0.87,0.94,0.91,0.87,0.83,0.66,0.92,0.61,0.61,0.9,0.36,0.81,0.78,0.46,0.86,2
0.86,0.94,0.93,0.87,0.82,0.66,0.92,0.59,0.63,0.89,0.36,0.82,0.77,0.46,0.87,2
0.86,0.94,0.94,0.87,0.82,0.62,0.92,0.6,0.62,0.89,0.35,0.82,0.77,0.45,0.87,2
0.85,0.96,0.92,0.87,0.79,0.68,0.91,0.56,0.73,0.86,0.44,0.82,0.73,0.54,0.86,2
0.85,0.96,0.94,0.88,0.83,0.69,0.92,0.64,0.64,0.87,0.41,0.81,0.74,0.49,0.86,2
0.84,0.97,0.93,0.88,0.82,0.74,0.91,0.64,0.71,0.84,0.48,0.82,0.71,0.57,0.86,2
0.84,0.96,0.89,0.87,0.81,0.78,0.9,0.58,0.77,0.84,0.5,0.83,0.72,0.56,0.87,2
0.86,0.94,0.87,0.84,0.79,0.79,0.88,0.59,0.79,0.82,0.54,0.84,0.72,0.59,0.87,2
0.85,0.95,0.87,0.86,0.79,0.79,0.88,0.62,0.78,0.83,0.53,0.82,0.72,0.58,0.86,2
0.84,0.94,0.86,0.85,0.77,0.8,0.89,0.58,0.78,0.83,0.51,0.83,0.73,0.56,0.86,2
0.86,0.93,0.84,0.84,0.77,0.79,0.88,0.56,0.8,0.83,0.51,0.84,0.73,0.56,0.86,2
0.86,0.94,0.86,0.87,0.81,0.78,0.91,0.59,0.74,0.86,0.48,0.82,0.76,0.53,0.85,2
0.84,0.93,0.89,0.86,0.81,0.8,0.9,0.61,0.75,0.86,0.49,0.81,0.76,0.54,0.84,2
